date,anger_score,disgust_score,fear_score,joy_score,sadness_score,anger_count,disgust_count,fear_count,joy_count,sadness_count,count
20111211,20.700429,2.570788,5.316616,125.410898,21.845729,25,3,6,146,26,1000
20111212,18.243144,6.243663,1.592633,116.398681,13.476406,22,7,2,135,16,1000
20111213,19.900527,2.51943,9.686052,122.441547,33.33266,24,3,11,141,40,1000
20111214,21.677778,4.89236,4.47972,119.198232,32.942056,26,6,5,137,39,1000
20111215,29.276758,3.410223,4.879117,121.578029,24.813168,35,4,6,143,30,1000
20111216,14.086966,10.089337,3.585434,121.307647,22.53198,17,12,4,142,27,1000
20111217,20.676332,2.562646,3.691853,113.676129,24.87139,25,3,4,132,30,1000
20111218,23.363064,1.762208,4.250345,122.624934,26.841812,28,2,5,142,32,1000
20111219,16.95863,1.718609,4.309944,121.101899,23.08158,20,2,5,140,28,1000
20111220,24.016644,8.10601,10.14064,120.505836,27.16264,28,9,11,141,32,1000
20111221,20.630416,4.281446,5.18718,130.935042,29.18186,25,5,6,152,34,1000
20111222,23.821413,5.335848,7.300825,132.708173,27.113831,29,6,8,153,32,1000
20111223,24.268079,2.581749,6.313329,146.833035,24.282998,29,3,7,172,29,1000
20111224,28.22246,4.248778,6.343736,151.989172,21.599396,33,5,7,174,25,1000
20111225,26.979505,2.690122,4.43662,189.502611,19.994766,32,3,5,221,23,1000
20111226,23.824461,2.644038,0.891658,127.687465,11.627603,28,3,1,149,14,1000
20111227,20.12917,0.931034,6.046302,117.858386,29.806968,24,1,7,136,35,1000
20111228,16.760762,5.214915,4.223748,111.723893,18.503518,20,6,5,131,22,1000
20111229,18.663083,4.300127,4.345301,124.660484,19.565376,22,5,5,143,23,1000
20111230,24.653268,3.533048,4.213564,140.339218,14.818638,29,4,5,161,18,1000
20111231,15.881853,3.627648,5.460923,169.596547,19.964478,19,4,6,193,24,1000
20120101,26.443299,6.238532,3.724136,158.730871,21.050013,31,7,4,181,25,1000
20120102,28.585921,5.740258,2.746995,97.156478,36.771907,34,7,3,113,44,1000
20120103,22.805039,3.478832,3.659201,108.833628,25.264316,27,4,4,126,30,1000
20120104,34.806397,7.328574,8.786356,131.080581,24.871292,41,8,10,152,29,1000
20120105,17.847744,5.449288,3.505191,109.138906,29.766115,21,6,4,127,35,1000
20120106,29.359963,3.708885,5.479153,120.593314,24.539846,35,4,6,139,29,1000
20120107,21.797637,4.453268,5.847985,111.031685,25.896049,25,5,7,128,31,1000
20120108,30.259481,6.346807,4.237351,120.372146,32.322967,37,7,5,141,38,1000
20120109,35.788084,6.140084,1.777802,117.079581,24.270961,43,7,2,136,29,1000
20120110,25.051614,2.627405,7.020466,103.402566,25.210877,30,3,8,120,30,1000
20120111,25.305734,5.15602,2.494872,104.775245,30.857196,30,6,3,122,37,1000
20120112,28.381557,1.542864,4.250921,121.297527,24.768716,34,2,5,141,29,1000
20120113,21.203747,6.099764,3.569091,117.173341,17.079583,25,7,4,136,21,1000
20120114,26.900734,3.378997,3.785611,114.470231,28.4457,32,4,4,132,34,1000
20120115,23.230719,5.991738,4.273372,120.953467,24.019671,28,7,5,139,29,1000
20120116,25.182076,5.862605,5.222868,113.147716,26.512461,30,7,6,130,31,1000
20120117,31.044232,2.693165,6.088223,108.738223,27.117139,37,3,7,127,32,1000
20120118,31.076151,7.046196,6.17039,109.641202,26.237982,37,8,7,125,31,1000
20120119,15.97014,3.641989,1.849453,123.745435,16.997021,19,4,2,143,20,1000
20120120,33.120735,4.479835,7.232055,126.082985,33.275191,39,5,8,145,39,1000
20120121,27.924081,4.285615,3.330069,111.669709,23.88571,33,5,4,129,28,1000
20120122,33.76533,5.207791,4.50431,115.033753,30.000975,40,6,5,135,35,1000
20120123,28.683111,1.567596,5.900962,123.669044,17.562661,34,2,7,144,21,1000
20120124,31.737014,7.784704,4.522301,108.025814,29.205026,38,9,5,125,34,1000
20120125,20.053105,5.078519,6.129188,131.685857,28.658597,24,6,7,154,34,1000
20120126,25.950526,4.548421,6.533158,115.428294,30.066659,31,5,7,135,35,1000
20120127,24.42718,5.181638,1.698954,131.966318,27.195771,29,6,2,152,32,1000
20120128,21.479337,6.403193,3.724136,110.442221,28.502249,25,7,4,129,33,1000
20120129,22.529909,2.605164,7.982123,125.075344,23.249689,27,3,9,145,27,1000
20120130,21.416429,2.556723,3.483073,120.487661,28.635677,26,3,4,138,34,1000
20120131,21.808106,5.338321,6.428821,124.109048,24.91584,26,6,7,144,30,1000
20120201,28.978031,7.715894,1.649173,127.446474,26.815047,35,9,2,149,32,1000
20120202,31.362217,2.456674,1.862068,105.535793,22.225545,37,3,2,122,26,1000
20120203,20.959662,1.688177,6.997016,117.79699,21.365804,25,2,8,137,26,1000
20120204,21.124408,5.394803,4.524522,121.029605,22.384109,25,6,5,140,26,1000
20120205,26.18544,3.407189,8.192993,119.203407,20.19178,32,4,9,139,24,1000
20120206,24.814392,2.614071,1.68803,124.428612,35.484081,30,3,2,143,42,1000
20120207,31.043306,3.636989,3.266825,133.255285,21.651595,37,4,4,154,26,1000
20120208,20.127503,3.549671,7.174795,126.795748,29.073959,24,4,8,147,34,1000
20120209,31.992172,6.994988,4.240882,104.547155,29.64847,38,8,5,120,35,1000
20120210,35.470041,4.437037,3.550203,119.629917,20.862393,43,5,4,139,25,1000
20120211,32.364145,7.366719,5.33304,113.877825,25.778487,38,8,6,133,30,1000
20120212,28.443705,1.79766,3.342057,129.780102,40.827869,34,2,4,151,47,1000
20120213,25.213798,5.155226,2.516981,128.37868,19.450795,30,6,3,148,23,1000
20120214,18.289856,4.449099,0,177.54864,15.666601,22,5,0,202,19,1000
20120215,29.19698,2.632,7.032532,124.774084,21.351132,34,3,8,143,25,1000
20120216,23.266291,4.208517,5.352725,122.961072,23.062831,28,5,6,142,27,1000
20120217,18.479891,5.989935,4.390892,135.352961,25.002063,22,7,5,157,29,1000
20120218,31.077159,8.039513,6.306404,135.65454,32.358158,37,9,7,157,38,1000
20120219,24.131146,4.997558,5.494201,131.224382,23.822206,28,6,6,152,28,1000
20120220,26.956743,3.428142,5.461129,139.62416,20.901185,32,4,6,161,25,1000
20120221,18.823067,5.799899,10.581572,105.789561,28.866089,22,7,12,122,34,1000
20120222,20.941264,4.435831,7.086281,109.394,21.141666,25,5,8,125,25,1000
20120223,28.627755,2.631893,7.015644,129.955438,27.663216,34,3,8,150,33,1000
20120224,24.236311,2.614167,5.260697,134.876033,17.578538,29,3,6,154,21,1000
20120225,29.443014,5.147982,6.303255,117.739144,20.996569,35,6,7,139,25,1000
20120226,34.631547,3.494864,6.297039,140.483488,27.067766,40,4,7,164,32,1000
20120227,34.814215,7.7741,2.797243,135.150207,18.699607,42,9,3,157,22,1000
20120228,27.002585,4.341475,7.982888,120.579811,29.951865,32,5,9,141,36,1000
20120229,26.239985,11.157424,7.182672,125.899793,28.941714,31,13,8,147,34,1000
20120301,26.228957,5.230973,2.660233,135.570329,24.346602,31,6,3,155,29,1000
