year,month,day,anger_score,disgust_score,fear_score,joy_score,sadness_score,anger_count,disgust_count,fear_count,joy_count,sadness_count,close,open,high,low,change
2012,04,23,26.311593,5.326768,9.630869,133.079869,24.403841,31,6,11,152,29,12927.17,13028.2,13028.2,12845.58,-0.78
2012,04,24,21.4066,3.518874,3.5208730000000004,116.03510700000001,28.73606,25,4,4,134,34,13001.56,12927.77,13050.3,12926.49,0.0058
2012,04,25,28.193292,6.2054339999999995,6.2740279999999995,119.667449,25.278967,33,7,7,141,30,13090.72,12997.69,13105.7,12993.6,0.0069
2012,04,26,17.610073,4.331726000000001,5.232768,124.339142,21.240823000000002,21,5,6,144,25,13204.62,13090.11,13227.82,13075.96,0.0087
2012,04,27,25.028523,5.29796,9.639431,122.519042,22.308132999999998,30,6,11,141,26,13228.31,13204.7,13266.68,13192.21,0.0018
2012,04,30,17.882766,2.728527,6.256056,102.567427,17.182394,21,3,7,119,20,13213.63,13228.31,13228.76,13176.01,-0.11
2012,05,01,30.884512,5.586204,3.724136,133.83021599999998,22.594444,36,6,4,153,26,13279.32,13214.16,13338.66,13174.65,0.005
2012,05,02,23.483593,5.394355,6.513881,105.981242,29.738891,28,6,7,124,35,13268.57,13278.11,13278.11,13192.21,-0.08
2012,05,03,23.536465,5.509956,9.91381,125.52413,23.691952,28,6,11,145,28,13206.59,13267.59,13284.09,13175.64,-0.47
2012,05,04,21.961317,3.608271,8.174908,133.852877,25.564871,26,4,9,156,30,13038.27,13204.62,13205.0,13022.34,-1.27
2012,05,07,25.334209,3.6907900000000002,7.197385000000001,107.672683,27.292272999999998,30,4,8,126,32,13008.53,13035.85,13049.09,12970.0,-0.23
2012,05,08,24.923638,7.079399,8.034057,117.95261200000002,22.799043,30,8,9,137,27,12932.09,13000.73,13000.73,12810.39,-0.59
2012,05,09,26.518463,5.016415,3.325824,127.50206899999999,24.622882,32,6,4,149,29,12835.06,12921.81,12921.81,12748.48,-0.75
